Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     ,Bolivar Soberano   (VES)                     
11-01-2023,139.468905,1.437317852,0.376,3337529.762,12.73748494,5.088000501,1.390406681,1.299193749,909.3578997,6.90532026,3997.487719,24.6147465,7.432858754,0.99931626,280.9630038,116.1184001,79.91081766,14541.18181,42000,3.259548426,136.7249907,380.5833928,1336.661972,0.3076511,1.9324,4.474228498,44.06618658,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.741671559,3.64,60.11272448,3.75,1.390402897,16.82003759,182.6956895,10.59995671,0.962819047,35.88502347,6.744247584,2.995931453,3.6725,0.844891596,1,40.42252965,560.3014409
12-01-2023,139.3999993,1.437317852,0.376,3339784.236,12.73827697,5.088000501,1.39040668,1.299193749,909.3578997,6.909169388,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91068834,14541.18181,42000,3.259548434,136.7249907,380.5833928,1336.661971,0.3076511,1.9324,4.474228498,44.06574109,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.741284324,3.64,60.1133031,3.75,1.390402897,16.82003762,182.6956895,10.59995671,0.962819047,35.88502129,6.744261464,2.995931453,3.6725,0.844891596,1,40.42249794,542.8818315
13-01-2023,139.3335727,1.437317852,0.376,3342037.363,12.73754351,5.088000501,1.39040668,1.299193749,909.3578997,6.912993769,3997.487719,24.6147465,7.432858754,0.999316259,280.9630038,116.1184001,79.9107898,14541.18181,42000,3.259548438,136.7249907,380.5833928,1336.661971,0.3076511,1.9324,4.474228498,44.06547288,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.740904962,3.64,60.11379122,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88502025,6.74426894,2.995931453,3.6725,0.844891596,1,40.42251924,560.2970205
14-01-2023,139.2695361,1.437317852,0.376,3344289.146,12.73822274,5.088000501,1.39040668,1.299193749,909.3578997,6.916793561,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.9107102,14541.18181,42000,3.259548439,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.06531141,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.740533313,3.64,60.11420301,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501976,6.744272967,2.995931453,3.6725,0.844891596,1,40.42250493,542.8862507
15-01-2023,139.2078036,1.437317852,0.376,3346539.584,12.73759374,5.088000501,1.39040668,1.299193749,909.3578997,6.920568924,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91077265,14541.18181,42000,3.259548439,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.0652142,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.740169219,3.64,60.11455039,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501953,6.744275136,2.995931453,3.6725,0.844891596,1,40.42251454,560.2926024
16-01-2023,139.148292,1.437317852,0.376,3348788.678,12.73817623,5.088000501,1.39040668,1.299193749,909.3578997,6.924320015,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91072365,14541.18181,42000,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.06515567,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.739812528,3.64,60.11484344,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501942,6.744276304,2.995931453,3.6725,0.844891596,1,40.42250809,542.8906677
17-01-2023,139.0909217,1.437317852,0.376,3351036.43,12.73763681,5.088000501,1.39040668,1.299193749,909.3578997,6.928046988,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91076209,14541.18181,42000,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.06512044,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.739463089,3.64,60.11509066,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501936,6.744276934,2.995931453,3.6725,0.844891596,1,40.42251242,560.2881866
18-01-2023,139.0356155,1.437317852,0.376,3353282.84,12.73813634,5.088000501,1.39040668,1.299193749,909.3578997,6.93175,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91073193,14541.18181,42000,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.06509922,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.739120754,3.64,60.11529921,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501934,6.744277273,2.995931453,3.6725,0.844891596,1,40.42250951,542.8950824
19-01-2023,138.9822992,1.437317852,0.376,3355527.909,12.73767375,5.088000501,1.39040668,1.299193749,909.3578997,6.935429204,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.9107556,14541.18181,42000,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.06508645,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.73878538,3.64,60.11547515,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501933,6.744277455,2.995931453,3.6725,0.844891596,1,40.42251147,560.2837729
20-01-2023,138.9309012,1.437317852,0.376,3357771.637,12.73810213,5.088000501,1.39040668,1.299193749,909.3578997,6.939084754,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91073703,14541.18181,42000,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.06507876,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.738456823,3.64,60.11562357,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.744277553,2.995931453,3.6725,0.844891596,1,40.42251015,542.8994949
21-01-2023,138.8813524,1.437317852,0.376,3360014.026,12.73770542,5.088000501,1.39040668,1.299193749,909.3578997,6.942716801,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.9107516,14541.18181,42000,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.06507413,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.738134947,3.64,60.11574877,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.744277606,2.995931453,3.6725,0.844891596,1,40.42251104,560.2793616
22-01-2023,138.8335864,1.437317852,0.376,3362255.077,12.7380728,5.088000501,1.39040668,1.299193749,909.3578997,6.946325496,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074017,14541.18181,42000,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.06507135,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.737819615,3.64,60.1158544,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.744277635,2.995931453,3.6725,0.844891596,1,40.42251044,542.9039052
23-01-2023,138.7875389,1.437317852,0.376,3364494.789,12.73773259,5.088000501,1.39040668,1.299193749,909.3578997,6.949910991,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074914,14541.18181,42000,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.06506967,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.737510693,3.64,60.1159435,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.74427765,2.995931453,3.6725,0.844891596,1,40.42251084,560.2749524
24-01-2023,138.7431482,1.437317852,0.376,3366733.164,12.73804764,5.088000501,1.39040668,1.299193749,909.3578997,6.953473433,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.9107421,14541.18181,42000,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.06506866,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.737208053,3.64,60.11601867,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.744277659,2.995931453,3.6725,0.844891596,1,40.42251058,542.9083132
